TOTAL PLAN FOR TEACHERS 

Day Time         Maria Mróz                       Kryspin Wróblewski    Patrycja Chmielewska             Bartłomiej Kwiatkowski            Eliza Zakrzewska        Paula Michalak                    Marcelina Witkowska    Ola Kubiak                       Alojzy Kamiński                   Konstanty Tomaszewski    Alek Sobczak        Maciej Michalak           Dorian Duda    Anna Borkowska
Thursday 10:35   ----                             VIIIc, Fizyka, R203   VIIb, Godzina wychowawcza, R202  ----                              ----                    VIIIb, Godzina wychowawcza, R102  VIIIa, Chemia, R103    VIIc, Matematyka, R302           ----                              ----                     ----                ----                      VIIa, WF, S2   ----
Thursday 11:35   ----                             VIIc, Fizyka, R303    VIIIc, Historia, R203            ----                              VIIIa, Geografia, R103  ----                              VIIIb, Chemia, R302    ----                             ----                              ----                     ----                VIIb, Informatyka, R201   VIIa, WF, S2   ----
Thursday 12:25   VIIIc, J.Polski, R101            ----                  VIIb, Historia, R202             ----                              ----                    ----                              ----                   VIIIb, Matematyka, R102          ----                              ----                     ----                VIIa, Informatyka, R201   VIIc, WF, S2   VIIIa, WF, S1
Thursday 13:15   VIIIa, J.Polski, R302            ----                  VIIIb, Historia, R102            ----                              VIIb, Geografia, R202   ----                              ----                   ----                             ----                              ----                     ----                ----                      VIIc, WF, S2   ----
Thursday 14:05   ----                             ----                  ----                             ----                              ----                    ----                              ----                   ----                             VIIc, Biologia, R303              ----                     ----                ----                      ----           ----
Friday 08:00     ----                             VIIIa, Fizyka, R302   ----                             ----                              ----                    VIIIb, J.Angielski, R303          ----                   ----                             ----                              ----                     ----                ----                      ----           ----
Friday 08:50     ----                             ----                  ----                             VIIIa, Matematyka, R302           ----                    ----                              ----                   VIIIb, Matematyka, R102          ----                              VIIa, J.Polski, R203     ----                ----                      ----           ----
Friday 09:45     VIIIa, J.Polski, R102            VIIa, Fizyka, R203    VIIIb, Historia, R303            ----                              ----                    ----                              ----                   ----                             ----                              ----                     ----                ----                      VIIc, WF, S2   ----
Friday 10:35     ----                             ----                  ----                             ----                              VIIc, Geografia, R203   VIIIa, J.Angielski, R103          ----                   VIIIc, Matematyka, R101          VIIa, Biologia, R302              ----                     ----                ----                      VIIIb, WF, S1  ----
Friday 11:35     VIIc, Godzina wychowawcza, R203  VIIa, Fizyka, R302    VIIIa, Historia, R101            ----                              VIIIc, Geografia, R303  ----                              VIIb, Chemia, R102     ----                             ----                              ----                     ----                VIIIb, Informatyka, R201  ----           ----
Friday 12:25     ----                             ----                  VIIIa, Historia, R103            VIIb, Matematyka, R101            ----                    VIIIc, J.Angielski, R202          ----                   VIIa, Matematyka, R302           ----                              ----                     ----                VIIc, Informatyka, R201   ----           ----
Friday 13:15     VIIIc, J.Polski, R202            ----                  ----                             VIIIa, Godzina wychowawcza, R103  ----                    ----                              VIIc, Chemia, R302     ----                             VIIb, Biologia, R101              VIIa, J.Polski, R102     ----                ----                      ----           ----
Friday 14:05     ----                             VIIc, Fizyka, R203    ----                             VIIb, Matematyka, R101            ----                    VIIIc, J.Angielski, R303          ----                   ----                             ----                              ----                     ----                ----                      ----           ----

